
System : U-U @ 193 GeV
# Order : Attribute  Minimum    Maximum    Average    

# Multiplicity
0-5 %      703.590    969.463    836.526   
5-10 %     580.381    697.105    638.743   
10-15 %    476.625    573.896    525.261   
15-20 %    392.324    470.141    431.233   
20-30 %    262.630    385.840    324.235   
30-40 %    165.360    256.146    210.753   
40-50 %    100.513    158.875    129.694   
50-60 %    55.120     94.028     74.574    

# Impact parameter [fm]
0-5 %      0.060      9.076      2.319     
5-10 %     1.687      10.132     4.183     
10-15 %    1.109      11.979     5.461     
15-20 %    0.347      12.393     6.502     
20-30 %    1.932      13.170     7.757     
30-40 %    2.470      14.795     9.208     
40-50 %    4.468      15.889     10.475    
50-60 %    5.488      17.530     11.598    
