
System : U-U @ 193 GeV
# Order : Attribute  Minimum    Maximum    Average    

# Multiplicity
0-5 %      713.515    947.449    830.482   
5-10 %     587.064    707.192    647.128   
10-15 %    485.904    580.742    533.323   
15-20 %    403.711    479.581    441.646   
20-30 %    270.937    397.388    334.163   
30-40 %    176.099    264.615    220.357   
40-50 %    106.551    169.777    138.164   
50-60 %    62.294     100.229    81.261    

# Impact parameter [fm]
0-5 %      0.016      3.731      2.198     
5-10 %     2.765      5.246      4.072     
10-15 %    4.138      6.567      5.319     
15-20 %    5.108      7.593      6.285     
20-30 %    5.924      9.481      7.521     
30-40 %    7.403      11.076     8.934     
40-50 %    8.616      12.579     10.164    
50-60 %    9.756      13.724     11.223    
